Amostras;pH;?;Q;T;Li;Na;NH4;K;Mg;Ca;F;CH3COO;CHOO;Cl;NO2;Br;NO3;SO4;CH2(COO)2;C2O4 ;PO4;NH4;NO2;NO3;NID;NOD;NTD;NP;NT;PO4;POD;PTD;PP;PT;COD;CID;CD;HCO3;HCO3;Si;Na;Ca;Mg;K;Fe;Al;Mn;Ba;Cu;Ga;Li;Mo;Ni;Rb;Sr;V;Zn;La;Ce;Pr;Sm;Eu;Gd;Nd;Pb
SB190207 ;6.5;11.4;1.3;19.1;0.08;38.90;0.14;10.19;6.37;26.22;2.68;3.23;1.21;16.87;0.07;0.03;6.11;6.02;0.01;1.33;0.21;0.12;0.10;1.97;2.20;;;;;0.35;;;;;395.17;3.28;398.50;106;55;60.05;33.29;31.22;9.29;6.00;4.20;4.10;0.955;0.05;0.0060;0.0042;0.03;0.0014;0.0044;0.021;0.145;0.002;;0.018;0.023;0.00319;0.00173;0.00020;0.00121;1.68;0.03
SB190312;6.6;16.1;0.2;20.8;0.08;56.18;0.14;13.56;7.20;20.83;2.71;3.04;2.11;23.28;0.16;0.11;12.33;18.57;0.01;0.48;0.18;0.03;0.07;7.86;7.93;;;;;0.66;;;;;234.25;42.69;276.92;114;83;107.42;53.30;38.28;11.86;10.87;2.89;1.79;0.445;0.06;0.0047;0.0050;0.03;0.0007;0.0029;0.027;0.182;0.003;0.002;0.010;0.015;0.00177;0.00086;0.00013;0.00051;0.91;0.04
SB190414;6.6;14.2;0.7;19.8;0.08;61.70;0.14;10.31;6.59;19.97;3.01;1.30;1.53;17.90;0.45;0.13;7.26;17.06;0.01;0.03;0.11;0.28;0.08;4.75;5.11;;;;;0.69;;;;;174.08;2.34;176.50;;40;123.49;55.05;33.13;10.16;8.32;2.23;1.43;0.223;0.06;0.0022;0.0047;0.02;0.0005;0.0016;0.011;0.160;0.003;0.002;0.005;0.010;0.00108;0.00070;0.00006;0.00059;0.60;0.01
SB190519;6.3;9.8;2.1;17.0;0.08;45.09;0.14;7.97;6.16;15.99;2.36;1.11;0.99;15.10;0.34;0.03;7.66;15.99;0.01;0.25;0.11;0.03;0.12;;;;;;;0.62;;;;;268.01;23.87;291.91;70;;85.90;40.51;23.51;7.74;6.32;1.00;2.69;0.100;0.04;0.0026;0.0037;0.02;0.0004;0.0002;0.010;0.112;0.002;0.002;0.008;0.011;0.00156;0.00083;0.00010;0.00066;0.76;0.01
SB190615;6.4;15.7;0.3;17.2;0.08;75.41;0.14;16.43;7.22;17.65;3.12;1.60;1.65;22.79;0.20;0.22;11.61;19.90;0.17;0.23;0.20;;0.07;;;;;;;1.46;;;;;72.22;12.70;84.92;155;105;152.87;66.82;41.69;12.55;10.16;0.35;0.50;0.091;0.07;0.0017;0.0055;0.01;0.0005;0.0009;0.013;0.196;0.002;0.002;0.002;0.003;0.00040;0.00030;0.00003;0.00019;0.22;0.01
SB190704;6.6;17.1;0.2;17.3;0.08;80.22;0.14;13.70;7.62;22.45;2.97;2.00;1.69;22.30;0.26;0.09;10.15;20.87;0.19;0.03;0.13;;0.06;;;;;;;1.65;;;;;49.91;12.79;62.70;;102;169.41;76.13;48.80;14.56;11.46;0.17;0.40;0.049;0.08;0.0019;0.0061;0.01;0.0005;0.0065;0.015;0.227;0.002;0.002;0.002;0.003;0.00037;0.00034;0.00002;0.00019;0.17;0.01
SB190818;6.1;45.8;0.3;14.7;0.08;72.04;0.14;13.84;9.38;29.80;3.04;1.15;0.96;32.89;1.03;0.17;3.66;25.63;0.01;0.98;0.11;;0.09;;;;;;;0.66;;;;;70.93;12.26;83.18;134;116;125.36;65.38;43.48;13.02;11.71;0.67;0.50;0.048;0.07;0.0180;0.0060;0.02;0.0005;0.0026;0.016;0.201;0.001;0.013;0.003;0.004;0.00050;0.00044;0.00004;0.00026;0.31;0.01
SB190907;6.5;13.9;0.4;15.7;0.08;59.78;0.14;11.77;7.59;25.21;2.77;1.49;1.81;26.09;0.19;0.03;9.85;23.16;0.34;0.68;0.15;;;;;;;;;;;;;;142.98;27.25;170.24;160;102;;;;;;;;0.054;0.05;0.0043;0.0046;0.01;0.0002;0.0002;0.012;0.146;0.002;0.002;0.007;0.008;0.00125;0.00069;0.00008;0.00057;0.00;0.01
SB191006;6.7;37.6;0.1;18.2;0.08;73.75;0.14;13.73;7.34;22.32;2.87;0.99;1.44;25.38;0.28;0.03;13.10;23.65;0.28;0.16;0.14;;;;;;;;;;;;;;223.47;10.74;234.21;147;119;;;;;;;;0.028;0.06;0.0024;0.0052;0.01;0.0002;0.0002;0.015;0.186;0.002;0.002;0.002;0.003;0.00044;0.00031;0.00003;0.00020;0.00;0.01
SB191110 ;6.8;39.5;0.1;20.1;0.08;75.23;0.14;14.15;11.85;25.36;3.70;3.58;3.66;24.54;0.49;0.03;15.73;15.45;0.65;2.53;0.03;;;;;;;;;;;;;;73.68;15.41;89.09;131;123;;;;;;;;;;;;;;;;;;;;;;;;;;
SB191216;6.5;15.3;0.5;20.5;0.08;63.91;0.98;16.23;4.99;11.17;3.74;4.45;3.08;28.16;0.29;0.23;12.61;18.96;0.01;2.38;0.66;;;;;;;;;;;;;;149.81;11.75;161.58;112;;;;;;;;;;;;;;;;;;;;;;;;;;;
CS191207;;;;;0.08;17.54;0.42;1.05;1.98;6.50;0.63;3.77;1.54;4.39;0.07;0.03;4.00;0.93;0.01;1.01;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SB200128;6.0;6.4;1.7;21.3;0.08;57.88;0.14;9.83;7.90;10.63;3.12;1.72;0.13;16.94;0.14;0.08;8.14;17.92;0.01;1.31;0.18;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;
SB200218;6.7;8.0;0.2;21.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM180503;5.8;6.8;0.7;15.3;0.08;22.83;0.10;2.94;7.10;10.13;0.48;1.89;1.07;10.15;0.20;0.10;8.05;10.91;0.01;0.28;0.28;0.03;0.04;6.01;6.05;;;;;0.19;1.92;2.11;;2.16;;;22.62;115;23;75.84;23.05;11.23;10.78;3.32;0.26;1.48;0.008;0.03;0.0055;0.0021;0.01;0.001;0.004;0.004;0.055;0.003;0.063;0.000;0.000;0.00006;0.00003;0.01974;0.00002;0.03;0.06
SM180702 ;6.4;6.9;0.2;14.3;0.08;25.87;0.10;3.89;9.90;12.96;0.56;0.06;0.13;69.80;1.85;0.03;10.57;17.95;0.01;0.38;0.03;2.08;0.05;6.49;8.62;;;;;0.38;3.22;3.61;;;106.83;23.49;130.31;;3;79.12;20.23;11.73;11.59;3.13;0.21;0.55;0.007;0.03;0.0017;0.0020;0.01;0.000;0.004;0.004;0.060;0.002;0.009;0.000;0.000;0.00005;0.00007;0.00001;0.00002;0.04;0.01
SM180803;7.1;11.9;0.4;14.3;0.08;33.21;0.70;8.87;8.80;12.49;0.41;2.60;0.76;30.89;0.08;0.03;19.54;6.77;0.01;0.75;0.64;0.03;0.12;16.13;16.24;;;;;0.47;1.22;1.69;;;101.75;51.18;152.92;64;21;68.72;26.53;16.47;17.36;8.03;1.52;1.70;0.025;0.05;0.0031;0.0034;0.02;0.000;0.002;0.008;0.082;0.002;0.012;0.000;0.001;0.00009;0.00027;0.00003;0.00006;0.05;0.01
SM180831 ;6.3;8.9;0.3;13.7;0.08;24.23;0.30;5.70;6.70;12.90;0.34;2.22;2.01;13.22;0.08;0.03;7.90;6.52;0.01;0.87;0.03;0.03;0.06;6.25;6.31;8.67;16.95;;;0.44;0.83;1.27;;;234.81;36.55;271.36;;16;69.37;22.59;13.38;14.18;4.51;0.51;2.73;0.066;0.00;0.0066;0.0076;0.00;0.000;0.002;0.013;0.006;0.002;;0.000;0.000;0.00000;0.00001;0.00001;0.00002;0.02;0.19
SM181001;7.4;11.0;0.1;18.1;0.08;33.35;0.70;7.69;6.70;13.38;0.35;2.84;0.99;20.92;0.14;0.03;8.34;1.44;0.01;0.63;0.15;0.03;0.07;6.88;6.95;;;;;0.58;1.65;2.23;;;254.50;27.60;282.08;;42;83.30;26.15;17.08;17.72;6.25;0.69;2.05;0.020;0.03;0.0046;0.0053;0.01;0.000;0.015;0.009;0.069;0.002;0.023;0.000;0.001;0.00007;0.00007;0.00000;0.00013;0.06;0.06
SM181101;6.1;9.0;0.4;17.5;0.08;21.03;1.00;6.21;7.10;8.07;0.34;1.91;2.85;11.94;0.25;0.03;6.86;4.92;0.01;0.61;0.35;0.03;0.08;3.60;3.68;;;;;0.32;1.57;1.90;;;253.75;7.85;261.58;;36;67.71;21.63;12.06;12.22;3.98;0.41;2.24;0.013;0.02;0.0025;0.0050;0.01;0.000;0.003;0.006;0.052;0.001;0.002;0.000;0.001;0.00007;0.00005;0.00001;0.00006;0.06;0.05
SM181203;5.7;8.9;12.3;16.5;0.08;20.74;1.20;5.29;6.90;12.26;0.25;2.22;2.28;12.44;0.23;0.03;7.03;2.90;0.01;1.00;0.83;0.03;0.11;5.61;5.72;;;;;0.50;1.40;1.90;;;208.38;3.30;211.67;;1;40.99;17.98;12.27;10.79;4.57;0.63;6.19;0.033;0.03;0.0055;0.0034;0.01;0.000;0.005;0.007;0.052;0.002;0.064;0.001;0.001;0.00014;0.00020;0.00000;0.00019;0.14;0.06
SM190108 ;6.4;8.3;0.5;13.8;0.08;19.04;1.50;8.24;4.90;5.16;0.41;1.65;2.04;14.64;0.29;0.08;5.80;6.37;0.01;0.39;0.69;1.37;0.03;8.51;9.91;;;;;0.25;3.22;3.47;;;432.67;1.26;433.92;;29;69.82;18.84;9.35;10.29;2.66;0.24;1.05;0.009;0.02;0.0013;0.0037;0.01;0.000;0.006;0.004;0.041;0.001;0.002;0.000;0.000;0.00007;0.00001;0.00000;0.00006;0.03;0.01
SM190211;6.1;10.5;0.4;18.0;0.08;27.06;0.10;10.87;6.50;10.86;0.40;2.09;0.82;26.53;0.39;0.08;9.00;6.25;0.01;0.69;0.03;0.03;0.14;7.58;7.72;;;;;0.40;;;;;107.17;41.23;148.42;81;38;69.70;23.24;13.57;14.24;8.14;0.45;2.01;0.017;0.04;0.0047;0.0115;0.01;0.000;0.003;0.012;0.060;0.002;0.002;0.000;0.001;0.00007;0.00011;0.00002;0.00006;0.07;0.10
SM190311;7.4;10.9;0.3;20.5;0.08;11.48;0.10;3.45;4.70;8.23;0.33;1.39;0.88;10.89;0.15;0.09;7.26;0.57;0.01;0.03;0.11;0.03;0.09;13.16;13.25;;;;;0.58;;;;;222.33;13.84;236.17;;24;41.87;13.21;9.96;9.93;3.69;0.46;1.47;0.003;0.02;0.0012;0.0018;0.01;0.000;0.000;0.004;0.035;0.001;0.076;0.000;0.001;0.00009;0.00006;0.00002;0.00007;0.04;0.01
SM190409;5.3;8.6;0.3;16.5;0.08;15.44;0.10;2.80;4.60;5.39;0.40;2.10;0.13;6.08;0.25;0.32;4.42;0.60;0.01;0.03;0.14;3.91;0.06;6.07;10.04;;;;;0.55;;;;;165.69;10.40;176.09;;29;66.65;18.31;10.17;10.25;2.79;0.22;1.01;0.000;0.02;0.0004;0.0016;0.01;0.000;0.000;0.003;0.038;0.001;0.002;0.000;0.000;0.00007;0.00007;0.00002;0.00002;0.04;0.01
SM190514;5.1;9.0;0.2;17.9;0.08;21.88;0.10;3.99;7.10;7.34;0.41;1.14;1.94;10.76;0.52;0.12;3.32;5.30;0.85;0.14;0.12;;0.08;;;;;;;0.58;;;;;64.40;10.35;74.75;;29;60.00;16.66;10.05;10.02;2.74;0.25;1.03;0.000;0.02;0.0009;0.0017;0.01;0.000;0.000;0.003;0.038;0.001;0.002;0.000;0.001;0.00008;0.00010;0.00002;0.00004;0.04;0.01
SM190617;6.2;9.1;0.2;14.8;0.08;20.75;0.10;3.29;7.40;6.76;0.31;1.71;3.09;7.88;0.23;0.17;8.26;14.26;0.01;0.03;0.12;;0.04;;;;;;;0.58;;;;;98.38;14.56;112.93;;34;83.21;21.88;12.12;13.00;3.51;0.35;1.16;0.000;0.03;0.0004;0.0021;0.01;0.000;0.000;0.003;0.046;0.001;0.002;0.000;0.000;0.00007;0.00009;0.00001;0.00002;0.03;0.01
SM190709;6.5;7.2;0.2;12.2;0.08;26.61;0.10;5.12;6.70;9.18;0.35;2.09;1.03;11.23;0.16;0.12;10.43;14.48;0.01;0.03;0.13;;0.05;;;;;;;0.82;;;;;62.14;26.12;88.25;123;92;91.81;24.94;13.62;13.98;4.29;0.47;0.85;0.002;0.03;0.0021;0.0018;0.01;0.000;0.000;0.004;0.050;0.001;0.002;0.000;0.001;0.00007;0.00008;0.00002;0.00006;0.04;0.01
SM190808;6.3;12.3;0.1;14.5;0.08;35.14;0.90;13.89;10.90;16.27;0.35;1.70;1.84;33.58;0.34;0.14;10.96;8.56;0.25;0.43;0.11;;0.12;;;;;;;0.62;;;;;186.72;9.97;196.69;117;107;32.74;29.06;18.34;19.07;7.36;0.61;2.13;0.001;0.04;0.0014;0.0033;0.01;0.000;0.000;0.007;0.070;0.001;0.002;0.000;0.001;0.00016;0.00017;0.00003;0.00010;0.07;0.01
SM190906;6.2;12.5;0.3;15.5;0.08;12.63;3.90;5.03;5.00;5.94;1.77;2.82;3.01;11.85;0.32;0.03;7.94;1.44;0.01;0.87;0.18;;;;;;;;;;;;;;;;;;;;;;;;0.49;1.84;0.01;;;;;;;;;;;;;;;;;;
SM191008;6.4;11.0;0.1;14.2;0.08;69.77;3.10;22.54;6.30;11.08;0.58;3.60;0.13;40.30;0.35;0.03;12.87;17.19;0.01;2.45;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM191112;6.5;10.0;0.7;20.1;0.08;22.05;1.90;8.89;6.60;9.96;1.88;3.39;0.96;17.54;0.29;0.07;7.96;7.83;0.01;1.03;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM191214;6.5;8.0;0.9;21.0;0.08;14.23;2.90;8.54;2.00;4.34;4.96;3.56;2.37;14.72;0.32;0.03;3.32;10.90;0.01;0.03;0.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200121 ;6.0;6.4;1.7;16.8;0.08;20.28;0.14;3.87;7.94;9.05;0.32;3.47;1.00;9.41;0.12;0.03;6.55;0.87;0.01;0.60;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200121 (PONTE);6.9;6.6;1.7;17.9;0.08;20.46;4.96;3.84;7.67;8.48;0.28;1.15;0.79;36.30;0.07;0.03;22.92;1.31;0.01;0.39;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200122 (18:00);6.1;6.6;1.5;18.3;0.08;20.81;8.28;4.40;7.79;10.66;0.31;3.99;0.99;42.83;0.07;0.03;21.95;1.33;0.01;1.77;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200122 (20:00);6.2;6.8;2.1;18.3;0.08;20.47;0.74;4.94;7.18;7.45;0.27;2.04;0.85;10.48;0.07;0.03;19.33;1.09;0.01;0.28;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200122 (22:00);6.7;7.0;10.0;18.1;0.08;20.60;3.12;7.28;8.14;9.34;0.32;2.59;0.86;36.67;0.07;0.03;21.02;1.40;0.01;0.88;0.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200123 (5:30);6.2;7.0;6.6;17.6;0.08;20.48;0.14;4.80;6.40;9.86;0.24;2.41;1.18;34.49;0.07;0.03;18.85;1.30;0.01;0.27;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200124 (15:30);5.6;6.9;48.2;17.9;0.08;17.46;0.14;7.15;8.51;10.86;0.23;2.25;1.12;9.42;0.07;0.03;5.92;1.13;0.01;0.32;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200124 (9:30);6.0;6.6;16.4;17.8;0.08;19.23;0.96;5.52;7.69;17.82;1.92;6.16;0.13;34.86;0.24;0.03;19.08;2.04;0.01;1.99;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200125 (16:30);6.0;6.4;18.6;18.3;0.08;20.54;0.14;4.68;6.03;7.29;0.21;3.39;0.94;33.97;0.23;0.03;19.18;1.11;0.01;0.03;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SM200218;6.8;7.0;1.4;23.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
