Ponto;Tipo;Amostras;Data da coleta;Dias de chuva;pH;Condutividade;Altura de chuva;Vaz緌;Temperatura;Na (CI);NH4 (CI);K (CI);Mg (CI);Ca (CI);F;CH3COO;CHOO;Cl;NO2 (CI);Br;NO3 (CI);SO4;CH2(COO)2;C2O4 ;PO4 (CI);NH4 (ESP);NO2 (ESP) ;NO3 (ESP);NOD;NTD;NP;NT;PO4 (ESP);POD;PTD;PP;PT;COD;CID;CD;HCO3 (M) ;HCO3 (A);Si;Na (ICP);Ca (ICP);Mg (ICP);K (ICP);Fe;Al;Mn;Ba;Cu;Ga;Li;Mo;Ni;Rb;Sr;V;Zn;La;Ce;Pr;Sm;Eu;Gd;Nd;Pb
;;;;;;uS cm-1;dm;m3 s-1;  ?C        ;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;然;ppb;ppb
Bonfim;Fluvial;BM180505;05/05/2018;;5.6;6.9;;0.2;14.9;46.05;0.90;6.87;2.00;4.29;1.70;3.66;1.94;9.66;0.19;0.12;2.00;2.03;0.01;0.30;0.14;0.03;0.05;0.03;;;;;0.54;2.70;3.24;;;122.92;13.88;136.75;132;48;114.29;47.41;7.26;3.29;6.06;0.39;1.37;0.005;0.03;0.0035;0.0023;0.04;0.0010;0.0002;0.013;0.044;0.002;0.002;0.002;0.003;0.00033;0.00012;0.00002;0.00012;0.25;0.04
Bonfim;Fluvial;BM180526;26/05/2018;;6.0;6.6;;0.1;13.1;47.63;0.10;6.80;1.90;4.23;1.60;1.85;1.36;8.89;0.15;0.03;3.12;7.25;0.01;0.17;0.12;0.03;0.04;0.01;;;;;0.26;2.78;3.04;;;102.00;49.60;151.58;19;;117.14;44.98;8.53;3.70;6.26;0.39;1.59;0.005;0.03;0.0014;0.0019;0.04;0.0009;0.0004;0.013;0.046;0.003;0.043;0.002;0.003;0.00042;0.00021;0.00003;0.00021;0.20;0.05
Bonfim;Fluvial;BM180629;29/06/2018;;6.7;7.2;;0.1;12.5;59.30;0.10;8.84;2.70;5.78;1.75;1.87;0.86;9.38;0.08;0.03;3.34;9.33;0.01;0.37;0.21;0.03;0.03;1.24;;;;;0.43;3.78;4.21;;;97.83;11.79;109.58;280;48;135.44;49.85;9.16;3.79;6.98;0.28;0.85;0.006;0.03;0.0008;0.0018;0.04;0.0003;0.0003;0.015;0.053;0.002;0.039;0.002;0.003;0.00033;0.00023;0.00003;0.00015;0.18;0.01
Bonfim;Fluvial;BM180731 ;31/07/2018;;6.5;7.8;;0.1;13.6;60.36;0.10;8.35;2.60;5.39;1.84;3.84;1.06;8.94;0.25;0.03;3.13;9.69;0.01;0.30;0.20;1.01;0.05;1.50;;;;;0.56;1.36;1.92;;;118.58;3.53;122.08;25;;111.13;41.96;8.42;3.75;6.00;0.31;0.65;0.006;0.03;0.0011;0.0021;0.03;0.0004;0.0002;0.013;0.048;0.002;0.002;0.001;0.002;0.00028;0.00009;0.00002;0.00012;0.13;0.01
Bonfim;Fluvial;BM180831;31/08/2018;;6.8;7.9;;0.1;14.3;61.78;0.50;10.05;2.50;6.18;1.53;3.37;1.75;15.88;0.16;0.08;5.74;12.01;0.13;0.77;0.18;0.03;0.06;1.30;;6.32;0.62;6.94;0.50;1.97;2.47;;;230.58;29.24;259.86;94;;75.84;249.65;49.53;22.73;24.42;1.36;3.70;0.010;0.02;0.0014;0.0020;0.03;0.0003;0.0012;0.023;0.056;0.001;0.002;0.002;0.003;0.00035;0.00020;0.00001;0.00013;0.24;0.01
Bonfim;Fluvial;BM180929;29/09/2018;;6.1;9.3;;0.1;17.6;52.05;0.40;12.63;3.50;8.29;1.73;2.87;1.11;16.62;0.16;0.08;5.19;9.26;0.22;0.41;0.12;0.03;0.04;0.02;;;;;0.49;1.99;2.47;;;224.83;24.22;249.08;81;57;124.19;56.75;12.51;5.66;0.00;0.62;2.27;0.011;0.03;0.0016;0.0029;0.03;0.0002;0.0010;0.025;0.057;0.001;0.002;0.003;0.004;0.00057;0.00027;0.00001;0.00025;0.30;0.03
Bonfim;Fluvial;BM181103 ;03/11/2018;;6.7;7.5;;0.1;17.5;53.18;0.10;8.72;3.00;7.03;1.84;2.04;0.13;10.27;0.08;0.03;3.31;7.58;0.01;0.59;0.03;0.03;0.06;0.31;;;;;0.52;1.52;2.04;;;244.00;6.24;250.25;88;48;116.27;41.15;7.58;4.47;7.21;0.50;2.22;0.012;0.02;0.0013;0.0019;0.04;0.0004;0.0009;0.023;0.051;0.001;0.002;0.003;0.004;0.00064;0.00027;0.00001;0.00032;0.37;0.01
Bonfim;Fluvial;BM181204 ;04/12/2018;;6.5;6.2;;0.3;15.8;39.81;0.10;5.30;1.70;4.42;1.43;1.64;0.99;7.91;0.08;0.03;1.87;7.98;0.01;0.77;0.03;0.03;0.06;0.42;;;;;0.50;3.00;3.50;;;325.31;5.83;331.14;61;22;95.62;40.35;7.60;3.53;4.81;0.46;3.06;0.008;0.02;0.0013;0.0017;0.04;0.0001;0.0014;0.016;0.040;0.001;0.002;0.003;0.005;0.00071;0.00047;0.00007;0.00025;0.37;0.01
Bonfim;Fluvial;BM190106;06/01/2019;;5.9;5.3;;1.0;17.9;35.16;0.10;5.36;1.80;4.23;1.46;1.98;0.83;8.12;0.08;0.04;1.80;8.08;0.01;0.73;0.22;0.03;0.04;0.64;;;;;0.36;2.81;3.18;;;258.08;36.16;294.25;40;29;77.48;31.75;5.86;2.81;4.36;0.36;3.82;0.013;0.02;0.0016;0.0017;0.04;0.0002;0.0034;0.015;0.032;0.001;0.002;0.004;0.006;0.00078;0.00049;0.00001;0.00038;0.42;0.02
Bonfim;Fluvial;BM190206 ;06/02/2019;;6.1;7.1;;0.2;17.2;46.43;0.10;9.11;2.70;5.11;1.68;1.64;0.13;13.58;0.08;0.03;2.62;8.90;0.01;0.74;0.22;0.03;0.04;0.38;;;;;0.34;;;;;170.08;7.08;177.17;71;36;99.36;42.45;9.47;4.46;7.38;0.36;2.36;0.009;0.02;0.0009;0.0023;0.04;0.0003;0.0010;0.022;0.050;0.001;0.002;0.003;0.005;0.00064;0.00033;0.00001;0.00032;0.37;0.02
Bonfim;Fluvial;BM190313;13/03/2019;;6.2;7.1;;0.2;19.0;52.48;0.10;9.36;1.90;4.49;1.37;1.10;2.01;12.35;0.15;0.10;3.99;11.95;0.01;0.19;0.13;0.03;0.05;0.01;;;;;0.41;;;;;185.50;22.69;208.19;80;46;125.23;47.88;7.60;3.40;5.51;0.40;1.57;0.000;0.02;0.0022;0.0017;0.04;0.0002;0.0002;0.012;0.039;0.001;0.002;0.002;0.003;0.00038;0.00024;0.00001;0.00021;0.21;0.01
Bonfim;Fluvial;BM190413;13/04/2019;;6.0;6.1;;0.3;16.6;44.16;0.10;6.04;2.10;4.84;1.81;3.56;2.88;9.81;0.12;0.11;4.71;7.15;0.01;3.04;0.24;0.03;0.07;0.01;;;;;0.58;;;;;82.86;19.36;102.24;59;23;107.88;42.06;6.56;2.98;5.85;0.36;2.19;0.000;0.02;0.0004;0.0016;0.03;0.0001;0.0002;0.009;0.030;0.001;0.002;0.002;0.003;0.00042;0.00027;0.00003;0.00020;0.22;0.01
Bonfim;Fluvial;BM190518;18/05/2019;;5.6;4.7;;0.6;14.9;41.32;0.10;6.97;2.10;6.90;4.93;1.18;1.64;11.77;0.13;0.18;4.53;2.19;0.01;0.29;0.11;0.03;0.10;;;;;;0.44;;;;;188.17;15.55;203.74;52;;75.85;31.22;7.23;3.36;4.39;0.58;4.63;0.003;0.03;0.0004;0.0021;0.04;0.0001;0.0002;0.009;0.035;0.001;0.002;0.003;0.006;0.00078;0.00048;0.00004;0.00041;0.45;0.09
Bonfim;Fluvial;BM190616;16/06/2019;;6.0;6.4;;0.2;13.1;54.13;0.10;7.44;1.80;3.41;1.74;2.63;4.35;9.10;0.15;0.29;6.04;2.11;0.01;0.03;0.03;;0.06;;;;;;0.66;;;;;62.68;11.00;73.68;86;65;133.25;50.53;8.30;3.79;6.22;0.36;1.32;0.000;0.02;0.0004;0.0018;0.03;0.0001;0.0002;0.012;0.039;0.001;0.002;0.001;0.002;0.00026;0.00017;0.00002;0.00011;0.16;0.01
Bonfim;Fluvial;BM190707;07/07/2019;;6.3;6.6;;0.1;10.0;54.43;0.10;11.48;2.90;6.23;1.56;2.86;11.85;19.02;0.23;0.16;4.79;12.25;0.01;0.48;0.03;;0.05;;;;;;0.73;;;;;111.48;14.74;126.22;;37;126.12;53.70;11.05;5.14;8.26;0.45;1.80;0.000;0.03;0.0004;0.0024;0.03;0.0003;0.0002;0.015;0.050;0.001;0.002;0.002;0.003;0.00045;0.00032;0.00003;0.00022;0.24;0.01
Bonfim;Fluvial;BM190817;17/08/2019;;6.2;7.3;;0.1;10.5;56.59;0.10;11.21;3.50;7.21;1.49;2.75;1.07;20.07;0.18;0.03;5.11;12.37;0.01;0.03;0.03;;0.07;;;;;;0.57;;;;;66.82;30.11;96.91;122;67;128.96;56.25;11.70;5.46;9.32;0.38;1.17;0.002;0.03;0.0004;0.0023;0.03;0.0001;0.0002;0.015;0.056;0.001;0.002;0.003;0.006;0.00063;0.00032;0.00004;0.00030;0.32;0.01
Bonfim;Fluvial;BM190908;08/09/2019;;6.3;7.8;;0.1;14.6;67.62;0.10;15.39;2.80;6.65;1.98;1.15;7.55;16.40;0.15;0.13;2.75;2.81;0.41;0.03;0.03;;;;;;;;;;;;;84.84;11.01;95.91;123;92;;;;;;;;0.006;0.02;0.0004;0.0022;0.03;0.0003;0.0002;0.014;0.044;0.001;0.002;0.002;0.002;0.00030;0.00180;0.00003;0.00011;0.00;0.01
Bonfim;Fluvial;BM191005;05/10/2019;;6.1;17.3;;0.0;15.4;58.81;0.10;15.51;3.10;6.61;2.29;1.82;3.09;21.78;0.16;1.02;6.47;11.98;1.07;0.23;0.42;;;;;;;;;;;;;139.38;13.89;153.28;121;;;;;;;;;0.008;0.02;0.0017;0.0021;0.03;0.0001;0.0002;0.016;0.042;0.001;0.002;0.001;0.002;0.00030;0.00180;0.00002;0.00015;0.00;0.01
Bonfim;Fluvial;BM191109 ;09/11/2019;;6.7;19.6;;0.0;18.8;70.57;0.10;10.55;3.60;6.63;2.07;2.48;1.04;9.79;0.18;0.03;4.26;9.72;0.01;0.40;0.22;;;;;;;;;;;;;93.17;13.90;107.07;127;76;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Fluvial;BM191215;15/12/2019;;6.1;6.7;;0.3;17.9;4.00;1.90;6.31;2.60;5.69;1.59;3.35;1.03;8.73;0.15;0.03;4.38;1.93;0.01;2.03;0.20;;;;;;;;;;;;;302.73;12.89;315.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonfim;Fluvial;BM200127;27/01/2020;;6.4;7.4;;0.2;17.5;43.94;0.30;6.71;1.80;5.11;1.66;3.28;1.19;8.78;0.18;0.03;2.08;6.70;0.01;0.29;0.12;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soberbo;Fluvial;SB180506;06/05/2018;;6.3;13.6;;0.2;17.0;62.17;0.14;8.23;8.06;9.12;2.58;3.17;1.10;17.97;0.19;0.11;17.61;17.61;0.01;1.18;0.14;0.03;0.05;11.49;;;;;0.85;2.60;3.44;;;109.17;24.39;133.58;172;61;127.66;60.46;25.77;8.85;7.59;0.11;0.78;0.001;0.06;0.0041;0.0041;0.02;0.0009;0.0012;0.010;0.164;0.004;0.006;0.002;0.001;0.00032;0.00020;0.00005;0.00011;0.21;0.01
Soberbo;Fluvial;SB180527;27/05/2018;;6.4;12.9;;0.3;17.2;67.55;0.14;8.69;8.49;12.61;2.85;2.30;0.97;19.39;0.31;0.03;9.45;9.45;0.01;0.60;0.28;0.03;0.01;10.68;;;;;0.70;3.07;3.77;;;111.25;43.81;155.00;105;63;120.35;54.37;26.95;8.85;7.39;0.07;1.41;0.001;0.06;0.0031;0.0046;0.02;0.0002;0.0014;0.012;0.184;0.005;0.031;0.003;0.002;0.00055;0.00029;0.00003;0.00013;0.29;0.07
Soberbo;Fluvial;SB180630 ;30/06/2018;;6.4;15.0;;0.2;16.5;80.36;0.14;10.28;9.53;15.47;2.59;0.60;0.13;22.41;0.07;0.03;11.47;11.47;0.01;1.83;0.45;1.49;0.05;14.73;;;;;1.09;4.26;5.35;;;70.60;48.77;119.33;323;87;151.68;65.68;30.49;9.94;8.22;0.02;0.61;0.000;0.07;0.0021;0.0048;0.02;0.0004;0.0009;0.013;0.211;0.005;0.008;0.002;0.001;0.00031;0.00016;0.00002;0.00006;0.16;0.01
Soberbo;Fluvial;SB180801 ;01/08/2018;;6.3;18.9;;0.1;16.7;90.05;0.14;11.83;7.04;20.34;2.75;3.05;0.84;28.53;0.07;0.03;13.80;13.80;0.01;2.45;0.35;0.03;0.05;17.72;;;;;1.50;1.06;2.56;;;72.20;39.98;112.17;129;55;152.63;71.28;34.36;12.18;9.85;0.06;0.38;0.001;0.08;0.0018;0.0051;0.02;0.0008;0.0013;0.014;0.242;0.005;0.014;0.001;0.001;0.00027;0.00021;0.00004;0.00012;0.13;0.01
Soberbo;Fluvial;SB180901;01/09/2018;;7.4;16.2;;0.1;16.9;71.94;5.90;10.23;6.57;13.79;2.52;3.34;2.34;26.19;0.25;0.10;20.42;21.50;0.01;2.00;0.19;0.03;0.01;8.16;;16.27;2.69;18.96;0.98;1.41;2.39;;;124.06;10.50;134.56;;85;78.55;43.19;21.58;7.61;5.37;0.02;0.54;0.000;0.04;0.0008;0.0026;0.01;0.0010;0.0002;0.007;0.124;0.003;0.005;0.001;0.000;0.00018;0.00067;0.00001;0.00005;0.09;0.01
Soberbo;Fluvial;SB180930;30/09/2018;;6.2;15.1;;0.2;18.9;62.64;2.49;10.00;7.13;17.85;2.74;2.36;0.86;22.69;0.12;0.07;20.60;21.63;0.17;1.59;0.32;0.03;0.02;9.22;;;;;0.74;1.43;2.17;;;206.75;2.82;209.58;154;80;108.72;60.40;32.65;11.14;7.63;0.09;1.51;0.004;0.06;0.0041;0.0053;0.02;0.0003;0.0015;0.018;0.191;0.004;0.097;0.004;0.002;0.00071;0.00033;0.00001;0.00025;0.36;0.04
Soberbo;Fluvial;SB181102 ;02/11/2018;;7.0;12.9;;0.3;18.7;62.94;0.14;9.17;7.93;17.77;2.42;1.78;0.13;17.98;0.38;0.03;10.17;10.17;0.01;1.24;0.03;0.03;0.04;7.44;;;;;0.90;1.34;2.24;;;198.83;6.72;205.58;84;36;115.15;56.30;28.52;9.87;7.95;0.10;1.70;0.003;0.05;0.0033;0.0040;0.02;0.0003;0.0012;0.017;0.161;0.003;0.002;0.004;0.002;0.00071;0.00040;0.00001;0.00032;0.41;0.01
Soberbo;Fluvial;SB181203;03/12/2018;;6.2;11.7;;1.6;18.7;49.96;0.55;8.73;6.84;12.08;2.29;2.94;0.90;17.58;0.27;0.03;7.50;7.47;0.23;1.15;0.28;0.03;0.07;7.86;;;;;0.66;2.42;3.08;;;293.81;17.98;311.81;70;37;83.94;45.18;24.43;8.75;6.92;0.44;3.49;0.006;0.05;0.0031;0.0037;0.02;0.0004;0.0020;0.018;0.145;0.003;0.002;0.008;0.006;0.00142;0.00069;0.00001;0.00057;0.77;0.01
Soberbo;Fluvial;SB190107 ;07/01/2019;;7.1;20.7;;0.8;20.8;66.56;0.14;19.07;10.89;32.74;3.16;1.71;1.34;20.74;0.70;0.14;7.73;7.73;0.01;1.15;0.03;0.03;0.03;0.01;;;;;0.34;2.96;3.30;;;234.08;82.42;316.50;167;160;109.47;54.20;57.28;16.54;14.67;1.51;1.67;3.285;0.08;0.0044;0.0057;0.02;0.0010;0.0036;0.031;0.254;0.005;0.002;0.012;0.012;0.00206;0.00086;0.00001;0.00076;1.12;0.01
Soberbo;Fluvial;SB190207 ;07/02/2019;;6.5;11.4;;1.3;19.1;38.90;0.14;10.19;6.37;26.22;2.68;3.23;1.21;16.87;0.07;0.03;6.02;6.02;0.01;1.33;0.21;0.12;0.10;1.97;;;;;0.35;;;;;395.17;3.28;398.50;106;55;60.05;33.29;31.22;9.29;6.00;4.20;4.10;0.955;0.05;0.0060;0.0042;0.03;0.0014;0.0044;0.021;0.145;0.002;;0.018;0.023;0.00319;0.00173;0.00020;0.00121;1.68;0.03
Soberbo;Fluvial;SB190312;11/03/2019;;6.6;16.1;;0.2;20.8;56.18;0.14;13.56;7.20;20.83;2.71;3.04;2.11;23.28;0.16;0.11;18.57;18.57;0.01;0.48;0.18;0.03;0.07;7.86;;;;;0.66;;;;;234.25;42.69;276.92;114;83;107.42;53.30;38.28;11.86;10.87;2.89;1.79;0.445;0.06;0.0047;0.0050;0.03;0.0007;0.0029;0.027;0.182;0.003;0.002;0.010;0.015;0.00177;0.00086;0.00013;0.00051;0.91;0.04
Soberbo;Fluvial;SB190414;14/04/2019;;6.6;14.2;;0.7;19.8;61.70;0.14;10.31;6.59;19.97;3.01;1.30;1.53;17.90;0.45;0.13;17.06;17.06;0.01;0.03;0.11;0.28;0.08;4.75;;;;;0.69;;;;;174.08;2.34;176.50;;40;123.49;55.05;33.13;10.16;8.32;2.23;1.43;0.223;0.06;0.0022;0.0047;0.02;0.0005;0.0016;0.011;0.160;0.003;0.002;0.005;0.010;0.00108;0.00070;0.00006;0.00059;0.60;0.01
Soberbo;Fluvial;SB190519;19/05/2019;;6.3;9.8;;2.1;17.0;45.09;0.14;7.97;6.16;15.99;2.36;1.11;0.99;15.10;0.34;0.03;15.99;15.99;0.01;0.25;0.11;0.03;0.12;;;;;;0.62;;;;;268.01;23.87;291.91;70;;85.90;40.51;23.51;7.74;6.32;1.00;2.69;0.100;0.04;0.0026;0.0037;0.02;0.0004;0.0002;0.010;0.112;0.002;0.002;0.008;0.011;0.00156;0.00083;0.00010;0.00066;0.76;0.01
Soberbo;Fluvial;SB190615;15/06/2019;;6.4;15.7;;0.3;17.2;75.41;0.14;16.43;7.22;17.65;3.12;1.60;1.65;22.79;0.20;0.22;19.92;19.90;0.17;0.23;0.20;;0.07;;;;;;1.46;;;;;72.22;12.70;84.92;155;105;152.87;66.82;41.69;12.55;10.16;0.35;0.50;0.091;0.07;0.0017;0.0055;0.01;0.0005;0.0009;0.013;0.196;0.002;0.002;0.002;0.003;0.00040;0.00030;0.00003;0.00019;0.22;0.01
Soberbo;Fluvial;SB190704;04/07/2019;;6.6;17.1;;0.2;17.3;80.22;0.14;13.70;7.62;22.45;2.97;2.00;1.69;22.30;0.26;0.09;20.87;20.87;0.19;0.03;0.13;;0.06;;;;;;1.65;;;;;49.91;12.79;62.70;;102;169.41;76.13;48.80;14.56;11.46;0.17;0.40;0.049;0.08;0.0019;0.0061;0.01;0.0005;0.0065;0.015;0.227;0.002;0.002;0.002;0.003;0.00037;0.00034;0.00002;0.00019;0.17;0.01
Soberbo;Fluvial;SB190818;18/08/2019;;6.1;45.8;;0.3;14.7;72.04;0.14;13.84;9.38;29.80;3.04;1.15;0.96;32.89;1.03;0.17;25.63;25.63;0.01;0.98;0.11;;0.09;;;;;;0.66;;;;;70.93;12.26;83.18;134;116;125.36;65.38;43.48;13.02;11.71;0.67;0.50;0.048;0.07;0.0180;0.0060;0.02;0.0005;0.0026;0.016;0.201;0.001;0.013;0.003;0.004;0.00050;0.00044;0.00004;0.00026;0.31;0.01
Soberbo;Fluvial;SB190907;07/09/2019;;6.5;13.9;;0.4;15.7;59.78;0.14;11.77;7.59;25.21;2.77;1.49;1.81;26.09;0.19;0.03;23.16;23.16;0.34;0.68;0.15;;;;;;;;;;;;;142.98;27.25;170.24;160;102;;;;;;;;0.054;0.05;0.0043;0.0046;0.01;0.0002;0.0002;0.012;0.146;0.002;0.002;0.007;0.008;0.00125;0.00069;0.00008;0.00057;0.00;0.01
Soberbo;Fluvial;SB191006;06/10/2019;;6.7;37.6;;0.1;18.2;73.75;0.14;13.73;7.34;22.32;2.87;0.99;1.44;25.38;0.28;0.03;11.61;23.65;0.28;0.16;0.14;;;;;;;;;;;;;223.47;10.74;234.21;147;119;;;;;;;;0.028;0.06;0.0024;0.0052;0.01;0.0002;0.0002;0.015;0.186;0.002;0.002;0.002;0.003;0.00044;0.00031;0.00003;0.00020;0.00;0.01
Soberbo;Fluvial;SB191110 ;10/11/2019;;6.8;39.5;;0.1;20.1;75.23;0.14;14.15;11.85;25.36;3.70;3.58;3.66;24.54;0.49;0.03;15.45;15.45;0.65;2.53;0.03;;;;;;;;;;;;;73.68;15.41;89.09;131;123;;;;;;;;;;;;;;;;;;;;;;;;;;
Soberbo;Fluvial;SB191216;16/12/2019;;6.5;15.3;;0.5;20.5;63.91;0.98;16.23;4.99;11.17;3.74;4.45;3.08;28.16;0.29;0.23;18.96;18.96;0.01;2.38;0.66;;;;;;;;;;;;;149.81;11.75;161.58;112;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soberbo;Fluvial;CS191207;07/12/2019;;;;;;;17.54;0.42;1.05;1.98;6.50;0.63;3.77;1.54;4.39;0.07;0.03;4.00;0.93;0.01;1.01;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
